VaccinationDate,age_group,first_dose,second_dose
2021-03-24,20-29,3496,14372
2021-03-24,50-59,905,4065
2021-03-25,70-79,269,764
2021-03-25,40-49,1484,5407
2021-03-25,50-59,932,3164
2021-03-25,90+,45,96
2021-03-25,30-39,2263,8606
2021-03-25,60-69,544,1568
2021-03-25,20-29,3102,10921
2021-03-25,0-19,1247,4308
2021-03-25,80-89,149,412
2021-03-26,50-59,389,1159
2021-03-26,80-89,43,140
2021-03-26,30-39,986,3271
2021-03-26,70-79,91,250
2021-03-26,60-69,222,535
2021-03-26,40-49,616,2127
2021-03-26,90+,18,31
2021-03-26,20-29,1191,4170
2021-03-26,0-19,449,1528
2021-03-27,40-49,236,646
2021-03-27,60-69,81,164
2021-03-27,70-79,26,65
2021-03-27,30-39,387,870
2021-03-27,20-29,585,1496
2021-03-27,0-19,253,542
2021-03-27,50-59,134,385
2021-03-27,80-89,<15,27
2021-03-27,90+,<15,<15
2021-03-28,50-59,179,427
2021-03-28,60-69,68,187
2021-03-28,90+,<15,<15
2021-03-28,70-79,36,90
2021-03-28,40-49,288,709
2021-03-28,30-39,437,927
2021-03-28,20-29,727,1494
2021-03-28,0-19,284,678
2021-03-28,80-89,<15,28
2021-03-29,50-59,714,2840
2021-03-29,80-89,128,432
2021-03-29,0-19,904,3637
2021-03-29,30-39,1413,7001
2021-03-29,70-79,229,812
2021-03-29,60-69,456,1542
2021-03-29,40-49,1017,4690
2021-03-29,90+,47,107
2021-03-29,20-29,1867,8795
2021-03-30,20-29,2231,6660
2021-03-30,0-19,1105,2825
2021-03-30,40-49,1056,3339
2021-03-30,70-79,269,607
2021-03-30,30-39,1587,5085
2021-03-30,50-59,718,2113
2021-03-30,90+,58,81
2021-03-30,80-89,157,368
2021-03-30,60-69,477,1154
2021-03-31,0-19,994,2310
2021-03-31,80-89,200,279
2021-03-31,70-79,298,531
2021-03-31,30-39,1661,4684
2021-03-31,20-29,2290,5645
2021-03-31,40-49,1172,2967
2021-03-31,60-69,484,990
2021-03-31,50-59,791,1769
2021-03-31,90+,58,74
2021-04-01,20-29,2282,5722
2021-04-01,80-89,165,234
2021-04-01,0-19,1104,2359
2021-04-01,50-59,784,1643
2021-04-01,40-49,1212,2745
2021-04-01,70-79,261,414
2021-04-01,90+,48,63
2021-04-01,60-69,485,872
2021-04-01,30-39,1603,4415
2021-04-02,20-29,820,2538
2021-04-02,0-19,320,901
2021-04-02,70-79,59,122
2021-04-02,60-69,128,313
2021-04-02,90+,<15,<15
2021-04-02,80-89,27,79
2021-04-02,50-59,305,640
2021-04-02,40-49,440,1286
2021-04-02,30-39,663,2072
2021-04-03,30-39,248,593
2021-04-03,70-79,31,53
2021-04-03,90+,<15,<15
2021-04-03,0-19,206,384
2021-04-03,80-89,<15,16
2021-04-03,20-29,472,1073
2021-04-03,40-49,183,433
2021-04-03,50-59,132,222
2021-04-03,60-69,60,103
2021-04-04,60-69,559,1014
2021-04-04,70-79,316,497
2021-04-04,40-49,1366,3461
2021-04-04,30-39,2100,5428
2021-04-04,90+,58,68
2021-04-04,80-89,162,309
2021-04-04,20-29,2839,7112
2021-04-04,50-59,867,1842
2021-04-04,0-19,1273,2985
2021-04-05,70-79,362,465
2021-04-05,30-39,2181,4801
2021-04-05,40-49,1410,2945
2021-04-05,80-89,224,247
2021-04-05,60-69,580,894
2021-04-05,90+,70,77
2021-04-05,0-19,1487,3112
2021-04-05,50-59,929,1751
2021-04-05,20-29,2930,6789
2021-04-06,90+,66,71
2021-04-06,30-39,1920,3923
2021-04-06,70-79,368,400
2021-04-06,60-69,562,794
2021-04-06,40-49,1261,2470
2021-04-06,50-59,846,1388
2021-04-06,80-89,187,191
2021-04-06,20-29,2397,5129
2021-04-06,0-19,1164,2188
2021-04-07,60-69,586,658
2021-04-07,50-59,843,1282
2021-04-07,70-79,304,352
2021-04-07,90+,82,56
2021-04-07,40-49,1197,2308
2021-04-07,20-29,2489,4663
2021-04-07,30-39,1802,3450
2021-04-07,0-19,1194,2108
2021-04-07,80-89,176,213
2021-04-08,40-49,1378,2544
2021-04-08,30-39,2008,4189
2021-04-08,70-79,305,365
2021-04-08,60-69,575,792
2021-04-08,50-59,850,1430
2021-04-08,20-29,2561,5093
2021-04-08,0-19,1217,2084
2021-04-08,80-89,184,202
2021-04-08,90+,83,47
2021-04-09,50-59,328,498
2021-04-09,60-69,166,230
2021-04-09,30-39,886,1628
2021-04-09,70-79,73,96
2021-04-09,40-49,499,939
2021-04-09,90+,<15,<15
2021-04-09,0-19,444,756
2021-04-09,80-89,38,67
2021-04-09,20-29,931,1829
2021-04-10,50-59,140,294
2021-04-10,60-69,69,109
2021-04-10,0-19,191,490
2021-04-10,20-29,502,1195
2021-04-10,80-89,<15,27
2021-04-10,70-79,39,56
2021-04-10,90+,<15,<15
2021-04-10,30-39,334,736
2021-04-10,40-49,205,519
2021-04-11,20-29,2554,4440
2021-04-11,50-59,770,1173
2021-04-11,0-19,1269,2008
2021-04-11,70-79,343,332
2021-04-11,30-39,1971,3263
2021-04-11,60-69,565,661
2021-04-11,40-49,1203,1979
2021-04-11,90+,60,64
2021-04-11,80-89,159,174
2021-04-12,50-59,851,1041
2021-04-12,80-89,210,159
2021-04-12,20-29,2459,4226
2021-04-12,0-19,1339,1741
2021-04-12,90+,78,63
2021-04-12,30-39,1734,3018
2021-04-12,40-49,1146,1800
2021-04-12,70-79,329,352
2021-04-12,60-69,555,623
2021-04-13,20-29,1518,1426
2021-04-13,0-19,650,561
2021-04-13,80-89,159,76
2021-04-13,60-69,339,238
2021-04-13,50-59,538,408
2021-04-13,30-39,1257,1228
2021-04-13,90+,86,30
2021-04-13,40-49,817,683
2021-04-13,70-79,234,130
2021-04-14,20-29,880,1467
2021-04-14,0-19,372,582
2021-04-14,60-69,222,278
2021-04-14,80-89,72,111
2021-04-14,30-39,809,1205
2021-04-14,90+,17,34
2021-04-14,40-49,529,793
2021-04-14,50-59,384,489
2021-04-14,70-79,140,150
2021-04-15,80-89,<15,<15
2021-04-15,90+,<15,<15
2021-04-15,20-29,121,118
2021-04-15,0-19,41,50
2021-04-15,50-59,73,50
2021-04-15,70-79,24,17
2021-04-15,30-39,83,85
2021-04-15,40-49,59,67
2021-04-15,60-69,42,21
2021-04-16,70-79,72,128
2021-04-16,90+,<15,24
2021-04-16,30-39,734,1647
2021-04-16,20-29,960,2019
2021-04-16,80-89,45,82
2021-04-16,0-19,430,778
2021-04-16,50-59,294,484
2021-04-16,40-49,466,1006
2021-04-16,60-69,180,290
2021-04-17,90+,0,<15
2021-04-17,40-49,101,270
2021-04-17,60-69,32,73
2021-04-17,70-79,19,22
2021-04-17,30-39,175,444
2021-04-17,20-29,263,683
2021-04-17,80-89,<15,<15
2021-04-17,0-19,80,268
2021-04-17,50-59,69,144
2021-04-18,90+,31,26
2021-04-18,80-89,93,90
2021-04-18,60-69,454,371
2021-04-18,30-39,1419,1707
2021-04-18,70-79,229,207
2021-04-18,40-49,963,994
2021-04-18,0-19,1081,975
2021-04-18,20-29,2062,2412
2021-04-18,50-59,632,569
2021-04-19,50-59,572,595
2021-04-19,40-49,843,912
2021-04-19,60-69,389,385
2021-04-19,20-29,1859,2211
2021-04-19,90+,32,55
2021-04-19,70-79,201,204
2021-04-19,30-39,1267,1573
2021-04-19,80-89,95,141
2021-04-19,0-19,946,893
2021-04-20,50-59,588,557
2021-04-20,90+,38,61
2021-04-20,60-69,356,409
2021-04-20,30-39,1349,1599
2021-04-20,70-79,206,206
2021-04-20,40-49,890,946
2021-04-20,0-19,817,818
2021-04-20,20-29,1703,1944
2021-04-20,80-89,97,145
2021-04-21,50-59,661,606
2021-04-21,40-49,866,1006
2021-04-21,70-79,206,215
2021-04-21,30-39,1335,1533
2021-04-21,80-89,121,163
2021-04-21,90+,48,54
2021-04-21,60-69,387,369
2021-04-21,20-29,1712,2084
2021-04-21,0-19,814,870
2021-04-22,60-69,392,407
2021-04-22,40-49,887,1064
2021-04-22,50-59,566,699
2021-04-22,0-19,750,944
2021-04-22,80-89,85,163
2021-04-22,20-29,1598,2193
2021-04-22,70-79,210,252
2021-04-22,30-39,1240,1684
2021-04-22,90+,<15,61
2021-04-23,0-19,398,450
2021-04-23,50-59,267,317
2021-04-23,30-39,633,794
2021-04-23,90+,<15,<15
2021-04-23,70-79,50,48
2021-04-23,40-49,394,483
2021-04-23,60-69,117,132
2021-04-23,20-29,692,964
2021-04-23,80-89,27,35
2021-04-24,50-59,56,93
2021-04-24,20-29,242,467
2021-04-24,0-19,109,176
2021-04-24,80-89,<15,<15
2021-04-24,70-79,<15,<15
2021-04-24,40-49,103,175
2021-04-24,30-39,132,253
2021-04-24,60-69,22,30
2021-04-24,90+,0,<15
2021-04-25,80-89,77,109
2021-04-25,0-19,610,892
2021-04-25,20-29,1392,2139
2021-04-25,50-59,432,546
2021-04-25,60-69,300,378
2021-04-25,40-49,681,944
2021-04-25,70-79,167,202
2021-04-25,90+,17,36
2021-04-25,30-39,1040,1579
2021-04-26,0-19,855,1161
2021-04-26,80-89,78,152
2021-04-26,70-79,163,249
2021-04-26,40-49,724,1065
2021-04-26,20-29,1613,2413
2021-04-26,90+,29,49
2021-04-26,30-39,1181,1629
2021-04-26,60-69,256,355
2021-04-26,50-59,432,651
2021-04-27,80-89,97,157
2021-04-27,90+,28,59
2021-04-27,20-29,1118,1770
2021-04-27,0-19,637,840
2021-04-27,50-59,450,582
2021-04-27,30-39,968,1460
2021-04-27,70-79,160,234
2021-04-27,60-69,263,392
2021-04-27,40-49,626,920
2021-04-28,0-19,641,1042
2021-04-28,20-29,1277,2163
2021-04-28,80-89,57,155
2021-04-28,90+,21,78
2021-04-28,60-69,241,400
2021-04-28,40-49,612,912
2021-04-28,30-39,940,1520
2021-04-28,50-59,382,609
2021-04-28,70-79,139,216
2021-04-29,70-79,140,243
2021-04-29,90+,16,69
2021-04-29,30-39,948,1635
2021-04-29,40-49,688,994
2021-04-29,20-29,1067,2051
2021-04-29,0-19,560,925
2021-04-29,80-89,79,152
2021-04-29,50-59,415,626
2021-04-29,60-69,278,389
2021-04-30,80-89,21,64
2021-04-30,60-69,101,122
2021-04-30,90+,<15,<15
2021-04-30,40-49,317,432
2021-04-30,50-59,178,256
2021-04-30,30-39,432,803
2021-04-30,70-79,25,71
2021-04-30,0-19,241,391
2021-04-30,20-29,412,852
2021-05-01,70-79,<15,<15
2021-05-01,30-39,89,197
2021-05-01,40-49,57,110
2021-05-01,60-69,<15,33
2021-05-01,80-89,<15,<15
2021-05-01,0-19,46,110
2021-05-01,20-29,148,309
2021-05-01,50-59,22,44
2021-05-02,50-59,293,413
2021-05-02,40-49,414,780
2021-05-02,70-79,107,173
2021-05-02,30-39,703,1386
2021-05-02,90+,<15,31
2021-05-02,20-29,903,1827
2021-05-02,0-19,511,927
2021-05-02,80-89,49,94
2021-05-02,60-69,163,322
2021-05-03,80-89,51,112
2021-05-03,40-49,497,784
2021-05-03,70-79,95,194
2021-05-03,60-69,204,329
2021-05-03,90+,15,49
2021-05-03,30-39,780,1344
2021-05-03,50-59,307,443
2021-05-03,20-29,927,1589
2021-05-03,0-19,524,787
2021-05-04,70-79,132,170
2021-05-04,60-69,205,238
2021-05-04,40-49,478,667
2021-05-04,30-39,752,1038
2021-05-04,90+,18,55
2021-05-04,80-89,65,129
2021-05-04,20-29,970,1250
2021-05-04,0-19,436,604
2021-05-04,50-59,326,377
2021-05-05,50-59,257,349
2021-05-05,60-69,166,183
2021-05-05,40-49,483,518
2021-05-05,20-29,791,1092
2021-05-05,90+,15,36
2021-05-05,30-39,760,902
2021-05-05,70-79,83,136
2021-05-05,80-89,59,106
2021-05-05,0-19,495,543
2021-05-06,50-59,367,240
2021-05-06,20-29,896,910
2021-05-06,80-89,42,53
2021-05-06,60-69,175,147
2021-05-06,90+,<15,<15
2021-05-06,70-79,94,78
2021-05-06,30-39,812,622
2021-05-06,40-49,486,382
2021-05-06,0-19,552,478
2021-05-07,60-69,103,109
2021-05-07,40-49,281,349
2021-05-07,70-79,40,41
2021-05-07,30-39,429,534
2021-05-07,50-59,174,204
2021-05-07,0-19,206,302
2021-05-07,20-29,415,691
2021-05-07,80-89,<15,38
2021-05-07,90+,<15,<15
2021-05-08,0-19,25,46
2021-05-08,80-89,<15,0
2021-05-08,50-59,<15,32
2021-05-08,90+,0,<15
2021-05-08,40-49,23,51
2021-05-08,60-69,<15,<15
2021-05-08,70-79,<15,<15
2021-05-08,30-39,42,95
2021-05-08,20-29,62,174
2021-05-09,80-89,38,86
2021-05-09,20-29,745,1399
2021-05-09,0-19,435,687
2021-05-09,50-59,275,359
2021-05-09,40-49,406,570
2021-05-09,30-39,626,1034
2021-05-09,70-79,96,154
2021-05-09,60-69,133,290
2021-05-09,90+,<15,46
2021-05-10,20-29,704,1292
2021-05-10,0-19,398,694
2021-05-10,30-39,641,1010
2021-05-10,50-59,283,368
2021-05-10,90+,18,51
2021-05-10,80-89,39,102
2021-05-10,60-69,148,252
2021-05-10,70-79,99,157
2021-05-10,40-49,435,594
2021-05-11,20-29,679,1071
2021-05-11,0-19,386,479
2021-05-11,80-89,51,67
2021-05-11,50-59,220,333
2021-05-11,70-79,68,125
2021-05-11,90+,<15,17
2021-05-11,30-39,552,843
2021-05-11,60-69,118,175
2021-05-11,40-49,326,529
2021-05-12,20-29,461,817
2021-05-12,60-69,127,179
2021-05-12,90+,21,29
2021-05-12,30-39,475,700
2021-05-12,70-79,52,93
2021-05-12,40-49,281,449
2021-05-12,80-89,26,70
2021-05-12,0-19,198,498
2021-05-12,50-59,174,260
2021-05-13,90+,<15,<15
2021-05-13,0-19,297,651
2021-05-13,40-49,266,493
2021-05-13,30-39,389,748
2021-05-13,70-79,52,128
2021-05-13,60-69,112,189
2021-05-13,80-89,24,72
2021-05-13,20-29,517,905
2021-05-13,50-59,151,276
2021-05-14,90+,<15,<15
2021-05-14,30-39,172,335
2021-05-14,0-19,134,226
2021-05-14,80-89,<15,20
2021-05-14,20-29,202,332
2021-05-14,40-49,105,199
2021-05-14,70-79,26,35
2021-05-14,60-69,34,58
2021-05-14,50-59,83,123
2021-05-15,40-49,24,23
2021-05-15,70-79,<15,<15
2021-05-15,30-39,29,29
2021-05-15,20-29,47,50
2021-05-15,60-69,<15,<15
2021-05-15,50-59,<15,42
2021-05-15,0-19,<15,<15
2021-05-15,80-89,<15,<15
2021-05-16,70-79,<15,27
2021-05-16,30-39,87,267
2021-05-16,40-49,57,150
2021-05-16,90+,0,<15
2021-05-16,60-69,25,53
2021-05-16,80-89,<15,17
2021-05-16,0-19,61,165
2021-05-16,50-59,43,90
2021-05-16,20-29,130,362
2021-05-17,70-79,<15,23
2021-05-17,40-49,33,107
2021-05-17,60-69,<15,69
2021-05-17,30-39,37,136
2021-05-17,50-59,24,112
2021-05-17,20-29,56,232
2021-05-17,0-19,19,74
2021-05-17,80-89,0,<15
2021-05-18,50-59,191,452
2021-05-18,60-69,112,320
2021-05-18,70-79,64,214
2021-05-18,90+,<15,40
2021-05-18,30-39,399,1149
2021-05-18,40-49,256,665
2021-05-18,20-29,442,1224
2021-05-18,80-89,29,95
2021-05-18,0-19,309,639
2021-05-19,30-39,424,1066
2021-05-19,70-79,63,140
2021-05-19,50-59,171,454
2021-05-19,20-29,608,1444
2021-05-19,0-19,301,681
2021-05-19,90+,26,30
2021-05-19,60-69,127,327
2021-05-19,40-49,267,643
2021-05-19,80-89,43,90
2021-05-20,50-59,190,346
2021-05-20,20-29,583,1003
2021-05-20,0-19,359,546
2021-05-20,40-49,280,514
2021-05-20,70-79,67,133
2021-05-20,60-69,118,211
2021-05-20,30-39,465,854
2021-05-20,80-89,21,81
2021-05-20,90+,<15,27
2021-05-21,60-69,51,67
2021-05-21,0-19,161,210
2021-05-21,80-89,<15,20
2021-05-21,20-29,287,319
2021-05-21,50-59,93,95
2021-05-21,70-79,<15,24
2021-05-21,90+,0,<15
2021-05-21,40-49,138,170
2021-05-21,30-39,259,317
2021-05-22,20-29,51,109
2021-05-22,0-19,19,34
2021-05-22,50-59,16,27
2021-05-22,70-79,<15,<15
2021-05-22,60-69,<15,<15
2021-05-22,80-89,<15,<15
2021-05-22,30-39,28,90
2021-05-22,40-49,16,55
2021-05-22,90+,0,<15
2021-05-23,20-29,612,880
2021-05-23,0-19,359,502
2021-05-23,50-59,236,257
2021-05-23,90+,<15,<15
2021-05-23,80-89,24,46
2021-05-23,70-79,52,102
2021-05-23,30-39,516,758
2021-05-23,40-49,285,420
2021-05-23,60-69,107,148
2021-05-24,70-79,53,110
2021-05-24,90+,<15,16
2021-05-24,30-39,455,920
2021-05-24,20-29,514,878
2021-05-24,0-19,328,493
2021-05-24,80-89,26,63
2021-05-24,50-59,224,302
2021-05-24,60-69,114,174
2021-05-24,40-49,250,505
2021-05-25,20-29,399,612
2021-05-25,80-89,29,68
2021-05-25,0-19,230,349
2021-05-25,90+,<15,24
2021-05-25,30-39,376,534
2021-05-25,70-79,61,96
2021-05-25,60-69,131,169
2021-05-25,40-49,261,352
2021-05-25,50-59,151,233
2021-05-26,90+,<15,<15
2021-05-26,80-89,24,51
2021-05-26,60-69,73,130
2021-05-26,20-29,336,603
2021-05-26,0-19,202,354
2021-05-26,70-79,52,88
2021-05-26,30-39,244,576
2021-05-26,40-49,172,323
2021-05-26,50-59,106,189
2021-05-27,90+,<15,23
2021-05-27,30-39,366,604
2021-05-27,20-29,474,881
2021-05-27,70-79,48,89
2021-05-27,80-89,21,63
2021-05-27,60-69,73,144
2021-05-27,40-49,229,351
2021-05-27,50-59,155,220
2021-05-27,0-19,262,568
2021-05-28,50-59,76,156
2021-05-28,60-69,32,84
2021-05-28,70-79,<15,36
2021-05-28,90+,<15,<15
2021-05-28,40-49,92,216
2021-05-28,30-39,137,335
2021-05-28,20-29,168,248
2021-05-28,80-89,<15,<15
2021-05-28,0-19,92,148
2021-05-29,30-39,23,33
2021-05-29,80-89,<15,<15
2021-05-29,90+,0,<15
2021-05-29,60-69,<15,<15
2021-05-29,50-59,<15,<15
2021-05-29,40-49,24,20
2021-05-29,20-29,26,64
2021-05-29,0-19,<15,25
2021-05-30,60-69,93,102
2021-05-30,40-49,226,272
2021-05-30,20-29,402,471
2021-05-30,70-79,57,78
2021-05-30,30-39,360,439
2021-05-30,90+,<15,<15
2021-05-30,50-59,157,156
2021-05-30,80-89,24,35
2021-05-30,0-19,226,282
2021-05-31,50-59,118,177
2021-05-31,0-19,178,307
2021-05-31,40-49,192,263
2021-05-31,90+,<15,<15
2021-05-31,30-39,416,485
2021-05-31,60-69,85,117
2021-05-31,70-79,42,60
2021-05-31,20-29,476,510
2021-05-31,80-89,<15,18
2021-06-01,20-29,344,452
2021-06-01,50-59,133,137
2021-06-01,70-79,36,51
2021-06-01,30-39,221,392
2021-06-01,40-49,168,211
2021-06-01,60-69,56,94
2021-06-01,90+,<15,<15
2021-06-01,80-89,26,38
2021-06-01,0-19,187,278
2021-06-02,60-69,69,77
2021-06-02,70-79,37,44
2021-06-02,40-49,174,188
2021-06-02,50-59,103,121
2021-06-02,0-19,196,232
2021-06-02,80-89,15,26
2021-06-02,20-29,439,406
2021-06-02,30-39,256,326
2021-06-02,90+,<15,<15
2021-06-03,0-19,489,209
2021-06-03,80-89,<15,30
2021-06-03,60-69,66,86
2021-06-03,50-59,109,118
2021-06-03,30-39,243,295
2021-06-03,40-49,157,174
2021-06-03,90+,<15,<15
2021-06-03,70-79,38,35
2021-06-03,20-29,386,337
2021-06-04,20-29,95,116
2021-06-04,50-59,61,61
2021-06-04,0-19,515,77
2021-06-04,80-89,<15,<15
2021-06-04,70-79,<15,18
2021-06-04,60-69,18,28
2021-06-04,90+,0,<15
2021-06-04,30-39,121,147
2021-06-04,40-49,101,90
2021-06-05,0-19,22,<15
2021-06-05,20-29,32,19
2021-06-05,50-59,<15,<15
2021-06-05,70-79,0,<15
2021-06-05,40-49,<15,<15
2021-06-05,60-69,<15,<15
2021-06-05,30-39,30,19
2021-06-06,80-89,<15,<15
2021-06-06,0-19,3260,201
2021-06-06,20-29,300,226
2021-06-06,70-79,41,30
2021-06-06,90+,<15,<15
2021-06-06,30-39,253,187
2021-06-06,40-49,131,93
2021-06-06,60-69,60,44
2021-06-06,50-59,118,71
2021-06-07,80-89,27,23
2021-06-07,40-49,185,94
2021-06-07,90+,<15,<15
2021-06-07,60-69,67,36
2021-06-07,0-19,3026,84
2021-06-07,20-29,442,181
2021-06-07,50-59,108,66
2021-06-07,70-79,37,28
2021-06-07,30-39,320,148
2021-06-08,80-89,<15,<15
2021-06-08,90+,<15,<15
2021-06-08,60-69,66,67
2021-06-08,70-79,21,28
2021-06-08,40-49,126,142
2021-06-08,30-39,250,241
2021-06-08,0-19,2727,161
2021-06-08,20-29,251,257
2021-06-08,50-59,95,104
2021-06-09,50-59,97,85
2021-06-09,40-49,157,123
2021-06-09,30-39,235,240
2021-06-09,70-79,47,48
2021-06-09,90+,<15,<15
2021-06-09,20-29,315,319
2021-06-09,0-19,2520,206
2021-06-09,80-89,16,28
2021-06-09,60-69,63,69
2021-06-10,80-89,15,18
2021-06-10,70-79,26,36
2021-06-10,40-49,158,144
2021-06-10,60-69,62,60
2021-06-10,90+,<15,<15
2021-06-10,50-59,97,92
2021-06-10,30-39,246,251
2021-06-10,20-29,341,305
2021-06-10,0-19,2237,210
2021-06-11,70-79,<15,<15
2021-06-11,30-39,86,99
2021-06-11,40-49,63,64
2021-06-11,60-69,<15,<15
2021-06-11,90+,<15,<15
2021-06-11,80-89,<15,<15
2021-06-11,0-19,941,74
2021-06-11,20-29,94,109
2021-06-11,50-59,38,32
2021-06-12,50-59,<15,<15
2021-06-12,60-69,<15,<15
2021-06-12,40-49,<15,<15
2021-06-12,0-19,57,16
2021-06-12,20-29,33,33
2021-06-12,30-39,26,18
2021-06-12,70-79,<15,<15
2021-06-13,50-59,102,112
2021-06-13,20-29,289,311
2021-06-13,40-49,167,147
2021-06-13,70-79,34,35
2021-06-13,80-89,<15,<15
2021-06-13,90+,<15,<15
2021-06-13,60-69,64,53
2021-06-13,30-39,246,275
2021-06-13,0-19,2119,221
2021-06-14,70-79,28,25
2021-06-14,40-49,183,175
2021-06-14,30-39,273,288
2021-06-14,0-19,1880,271
2021-06-14,20-29,328,353
2021-06-14,50-59,103,120
2021-06-14,80-89,<15,18
2021-06-14,60-69,70,92
2021-06-14,90+,<15,<15
2021-06-15,0-19,1943,191
2021-06-15,80-89,15,23
2021-06-15,90+,<15,<15
2021-06-15,50-59,117,95
2021-06-15,60-69,78,72
2021-06-15,40-49,170,141
2021-06-15,20-29,332,301
2021-06-15,70-79,29,47
2021-06-15,30-39,257,304
2021-06-16,20-29,275,171
2021-06-16,80-89,<15,29
2021-06-16,0-19,1685,150
2021-06-16,50-59,110,61
2021-06-16,40-49,159,128
2021-06-16,70-79,28,46
2021-06-16,90+,<15,15
2021-06-16,30-39,233,176
2021-06-16,60-69,55,53
2021-06-17,20-29,352,255
2021-06-17,0-19,1521,174
2021-06-17,30-39,275,250
2021-06-17,50-59,93,88
2021-06-17,60-69,65,48
2021-06-17,70-79,25,37
2021-06-17,40-49,195,138
2021-06-17,90+,<15,<15
2021-06-17,80-89,16,<15
2021-06-18,50-59,39,34
2021-06-18,0-19,712,45
2021-06-18,20-29,113,78
2021-06-18,80-89,<15,<15
2021-06-18,90+,<15,0
2021-06-18,30-39,122,99
2021-06-18,70-79,<15,<15
2021-06-18,40-49,60,48
2021-06-18,60-69,23,17
2021-06-19,20-29,36,23
2021-06-19,70-79,<15,<15
2021-06-19,30-39,19,15
2021-06-19,40-49,<15,18
2021-06-19,80-89,<15,0
2021-06-19,0-19,58,<15
2021-06-19,60-69,<15,<15
2021-06-19,50-59,<15,<15
2021-06-20,0-19,2141,182
2021-06-20,90+,<15,<15
2021-06-20,30-39,291,293
2021-06-20,70-79,34,42
2021-06-20,60-69,61,78
2021-06-20,40-49,191,196
2021-06-20,80-89,16,18
2021-06-20,20-29,352,266
2021-06-20,50-59,134,133
2021-06-21,90+,<15,<15
2021-06-21,20-29,599,254
2021-06-21,0-19,3508,244
2021-06-21,50-59,147,70
2021-06-21,80-89,<15,<15
2021-06-21,60-69,74,60
2021-06-21,70-79,35,52
2021-06-21,30-39,435,235
2021-06-21,40-49,224,125
2021-06-22,20-29,476,219
2021-06-22,30-39,369,213
2021-06-22,90+,<15,<15
2021-06-22,40-49,232,146
2021-06-22,70-79,47,30
2021-06-22,60-69,99,46
2021-06-22,50-59,168,95
2021-06-22,0-19,5327,142
2021-06-22,80-89,26,<15
2021-06-23,70-79,50,39
2021-06-23,30-39,470,222
2021-06-23,60-69,124,66
2021-06-23,40-49,321,142
2021-06-23,90+,<15,<15
2021-06-23,80-89,36,21
2021-06-23,20-29,549,316
2021-06-23,0-19,8784,189
2021-06-23,50-59,201,101
2021-06-24,90+,<15,<15
2021-06-24,40-49,356,148
2021-06-24,50-59,268,101
2021-06-24,70-79,79,44
2021-06-24,60-69,117,69
2021-06-24,30-39,493,228
2021-06-24,20-29,619,290
2021-06-24,0-19,9871,402
2021-06-24,80-89,35,16
2021-06-25,50-59,136,45
2021-06-25,60-69,51,21
2021-06-25,70-79,18,<15
2021-06-25,30-39,275,106
2021-06-25,40-49,218,82
2021-06-25,20-29,242,71
2021-06-25,0-19,5965,429
2021-06-25,80-89,<15,<15
2021-06-26,30-39,51,28
2021-06-26,50-59,34,<15
2021-06-26,70-79,<15,0
2021-06-26,0-19,1949,26
2021-06-26,20-29,75,28
2021-06-26,80-89,<15,<15
2021-06-26,60-69,<15,<15
2021-06-26,40-49,61,15
2021-06-27,0-19,10988,2315
2021-06-27,20-29,804,283
2021-06-27,50-59,283,134
2021-06-27,40-49,427,167
2021-06-27,70-79,65,50
2021-06-27,60-69,164,65
2021-06-27,30-39,731,258
2021-06-27,80-89,35,18
2021-06-27,90+,<15,<15
2021-06-28,60-69,174,69
2021-06-28,0-19,11735,2523
2021-06-28,80-89,39,23
2021-06-28,20-29,871,303
2021-06-28,70-79,69,46
2021-06-28,90+,<15,<15
2021-06-28,40-49,479,158
2021-06-28,50-59,320,102
2021-06-28,30-39,627,242
2021-06-29,0-19,13520,2567
2021-06-29,50-59,376,124
2021-06-29,20-29,951,236
2021-06-29,90+,<15,<15
2021-06-29,80-89,50,23
2021-06-29,30-39,752,265
2021-06-29,60-69,200,79
2021-06-29,70-79,100,50
2021-06-29,40-49,541,171
2021-06-30,20-29,882,246
2021-06-30,0-19,13304,2279
2021-06-30,50-59,349,130
2021-06-30,90+,<15,<15
2021-06-30,80-89,63,25
2021-06-30,40-49,564,159
2021-06-30,70-79,107,40
2021-06-30,30-39,783,223
2021-06-30,60-69,207,76
2021-07-01,80-89,50,19
2021-07-01,20-29,966,297
2021-07-01,70-79,91,44
2021-07-01,30-39,786,234
2021-07-01,0-19,13546,2213
2021-07-01,60-69,222,101
2021-07-01,90+,16,<15
2021-07-01,50-59,390,122
2021-07-01,40-49,602,156
2021-07-02,80-89,17,<15
2021-07-02,20-29,493,106
2021-07-02,0-19,8001,1007
2021-07-02,60-69,94,28
2021-07-02,30-39,468,97
2021-07-02,70-79,41,16
2021-07-02,40-49,329,72
2021-07-02,90+,<15,<15
2021-07-02,50-59,207,63
2021-07-03,60-69,30,<15
2021-07-03,80-89,<15,0
2021-07-03,20-29,176,54
2021-07-03,0-19,2052,103
2021-07-03,70-79,17,<15
2021-07-03,30-39,134,27
2021-07-03,40-49,116,28
2021-07-03,50-59,60,<15
2021-07-04,30-39,813,238
2021-07-04,70-79,125,57
2021-07-04,20-29,1002,244
2021-07-04,60-69,234,100
2021-07-04,40-49,633,183
2021-07-04,50-59,427,118
2021-07-04,90+,<15,<15
2021-07-04,0-19,14314,2101
